List of Grama Panchyats,,15/07/2019
,,
Grama Panchayat Code,Grama Panchayat Name,
G04001,Arookutty,
G04002,Chennam Pallippuram,
G04003,Panavally,
G04004,Perumbalam,
G04005,Thycattussery,
G04006,Aroor,
G04007,Ezhupunna,
G04008,Kuthiathode,
G04009,Kodamthuruth,
G04010,Thuravoor,
G04011,Pattanakkad,
G04012,Vayalar,
G04013,Kanjikkuzhy,
G04014,Cherthala South,
G04015,Mararikkulam North,
G04016,Kadakkarapally,
G04017,Thanneermukkam,
G04018,Aryad,
G04019,Mannanchery,
G04020,Mararikkulam South,
G04021,Muhamma,
G04022,Ambalappuzha South,
G04023,Ambalappuzha North,
G04024,Punnapra South,
G04025,Punnapra North,
G04026,Purakkad,
G04027,Edathua,
G04028,Kainakary,
G04029,Champakkulam,
G04030,Thakazhy,
G04031,Thalavady,
G04032,Nedumudi,
G04033,Kavalam,
G04034,Pulincunnu,
G04035,Neelamperoor,
G04036,Muttar,
G04037,Ramankary,
G04038,Veliyanad,
G04039,Cheriyanad,
G04040,Ala,
G04041,Puliyur,
G04042,Budhannur,
G04043,Pandanad,
G04044,Thiruvanvandoor,
G04045,Mulakkuzha,
G04046,Venmony ,
G04047,Karthikapally,
G04048,Thrikkunnappuzha,
G04049,Kumarapuram,
G04050,Karuvatta,
G04052,Pallippad,
G04053,Cheruthana,
G04054,Veeyapuram,
G04055,Mavelikkara Thekkekkara,
G04056,Chettikulangara,
G04057,Chennithala Thripperuthura,
G04058,Thazhakkara,
G04059,Mannar,
G04060,Chunakkara,
G04061,Nooranad,
G04062,Palamel,
G04063,Bharanikkavu,
G04064,Mavelikkara -Thamarakkulam,
G04065,Vallikunnam,
G04066,Pathiyoor,
G04067,Kandalloor,
G04068,Cheppad,
G04069,Muthukulam,
G04070,Aarattupuzha,
G04071,Krishnapuram,
G04072,Devikulangara,
G04073,Chingoli,
G08065,Nenmanikkara ,
G08064,Mattathur  ,
G08063,Kodakara ,
G08062,Alagappanagar  ,
G08061,Vallachira ,
G08060,Paralam  ,
G08059,Cherpu  ,
G08058,Avinissery ,
G08057,Arimbur ,
G08056,Manalur ,
G08055,Chazhur ,
G08054,Thanniam  ,
G08053,Anthikkad ,
G08052,Eriyad ,
G08051,Edavilangu  ,
G08050,Sree Narayanapuram  ,
G08049,Perinjanam  ,
G08048,Mathilakam ,
G08047,Kaipamangalam  ,
G08046,Edathiruthy ,
G08045,Valappad ,
G08044,Nattika ,
G08043,Thalikulam ,
G08042,Vadanappilly ,
G08041,Engandiyoor ,
G08040,Venkitangu ,
G08039,Pavaratty ,
G08038,Mullassery  ,
G08037,Elavally ,
G08036,Kolazhy  ,
G08035,Tholur  ,
G08034,Mulamkunnathukavu ,
G08033,Kaiparambu ,
G08032,Avanur  ,
G08031,Adat ,
G08030,Puthur ,
G08029,Pananchery  ,
G08028,Nadathara  ,
G08027,Madakkathara ,
G08026,Thiruvilwamala ,
G08025,Pazhayannur,
G08024,Panjal,
G08023,Kondazhy,
G08022,Vallathole Nagar,
G08021,Chelakkara,
G08019,Varavoor,
G08018,Thekkumkara,
G08017,Mullurkkara,
G08015,Erumapetty,
G08014,Desamangalam,
G08013,Velur,
G08012,Kadangode,
G08011,Porkulam,
G08010,Kattakampal,
G08009,Kandanassery,
G08008,Kadavalloor,
G08007,Chowannur,
G08006,Choondal,
G08005,Vadakkekkad ,
G08004,Punnayoorkulam,
G08003,Punnayoor,
G08002,Orumanayoor,
G08001,Kadappuram ,
G08066,Pudukkad ,
G08067,Thrikkur ,
G08068,Varantharappilly ,
G08069,Karalam ,
G08070,Kattoor ,
G08071,Muriyad ,
G08072,Parappookkara  ,
G08073,Padiyoor ,
G08074,Poomangalam ,
G08075,Puthenchira ,
G08076,Vellangalur ,
G08077,Velookkara ,
G08078,Aloor  ,
G08079,Annamanada ,
G08080,Kuzhur ,
G08081,Mala ,
G08082,Poyya ,
G08083,Kadukutty ,
G08084,Kodassery ,
G08085,Koratty ,
G08086,Meloor  ,
G08087,Pariyaram ,
G08088,Athirappilly ,
G03001,Anikkadu,
G03002,Kaviyoor,
G03003,Kottanad,
G03004,Kallooppara,
G03005,Kottangal,
G03006,Kunnanthanam,
G03007,Mallappally,
G03008,Kadapra,
G03009,Kuttoor,
G03010,Niranam,
G03011,Nedumpram,
G03012,Peringara,
G03013,Ayiroor,
G03014,Eraviperoor,
G03015,Koipram,
G03016,Thottappuzhassery,
G03017,Ezhumattoor,
G03018,Puramattam,
G03019,Omalloor,
G03020,Chenneerkara,
G03021,Elanthoor,
G03022,Cherukol,
G03023,Kozhanchery,
G03024,Mallappuzhassery,
G03025,Naranganam,
G03026,Ranni Pazhavangady,
G03027,Ranni ,
G03028,Ranny Angady,
G03029,Ranny Perunadu,
G03030,Vadasserikkara,
G03031,Chittar,
G03032,Seethathodu,
G03033,Naranammoozhy,
G03034,Vechoochira,
G03035,Konni,
G03036,Aruvappulam,
G03037,Pramadam,
G03038,Mylapra,
G03039,Vallikkodu,
G03040,Thannithodu,
G03041,Malayalapuzha,
G03042,Panthalam-Thekkekkara,
G03044,Thumpamon,
G03045,Kulanada,
G03046,Aranmula,
G03047,Mezhuvely,
G03048,Enadimangalam,
G03049,Earathu,
G03050,Ezhamkulam,
G03051,Kadambanad,
G03052,Kalanjoor,
G03053,Kodumon,
G03054,Pallickal,
G14001,Kumbadaje,
G14002,Bellur,
G14003,Karadka,
G14004,Muliyar,
G14005,Delampady,
G14006,Bedadka,
G14007,Kuttikkol,
G14008,Manjeshwar,
G14009,Vorkady,
G14010,Meenja,
G14011,Mangalpady,
G14012,Paivalike,
G14013,Puthige,
G14014,Enmakaje,
G14015,Kumbla,
G14016,Badiadka,
G14017,Mogralputhur,
G14018,Madhur,
G14019,Chemnad,
G14020,Chengala,
G14021,Udma,
G14022,Pallikkara,
G14023,Ajanur,
G14024,Pullur-Periya,
G14025,Madikai,
G14026,Kodom -Belur,
G14027,Kallar,
G14028,Panathady,
G14029,Balal,
G14030,Kinanoor - Karindalam,
G14031,West Eleri,
G14032,East Eleri,
G14033,Kayyur -  Cheemeni,
G14034,Cheruvathur,
G14035,Valiyaparamba,
G14036,Padne,
G14037,Pilicode,
G14038,Trikaripur,
G07001,Chendamangalam,
G07002,Kottuvally,
G07003,Ezhikkara,
G07004,Vadakkekara,
G07005,Chittattukara,
G07006,Karumalloor,
G07007,Varapuzha,
G07008,Alangad,
G07009,Kadungalloor,
G07010,Mookkanoor,
G07011,Thuravoor,
G07012,Manjapra,
G07013,Karukutty,
G07014,Ayyampuzha,
G07015,Kanjoor,
G07016,Kalady,
G07017,Malayattoor- Neeleeswaram,
